merchant_id,merchant_name,merchant_category,merchant_country,onboarding_date
MERCH20118,Afri Travel,Betting,Egypt,2025-08-20
MERCH20119,Baobab Tech,Groceries,Kenya,2023-04-27
MERCH20120,Tula Hub,Utilities,Ghana,2026-05-11
MERCH20121,Swift Exchange,Education,Nigeria,2025-12-09
MERCH20122,Kazi Exchange,Groceries,South Africa,2022-08-30
MERCH20123,Apex Wallet,Retail,Egypt,2022-06-11
MERCH20124,Baobab Travel,Education,Nigeria,2023-11-30
MERCH20125,Urban Shop,Utilities,South Africa,2025-08-13
MERCH20126,Nova Plus,Restaurants,Nigeria,2026-05-23
MERCH20127,Afri Pay,Travel,Ghana,2024-09-10
MERCH20128,Pesa Mobile,Airtime & Data,Egypt,2026-05-07
MERCH20129,Bright Foods,Education,Kenya,2022-08-12
MERCH20130,Baobab Plus,Betting,Kenya,2024-05-29
MERCH20131,Prime Plus,Electronics,South Africa,2024-02-02
MERCH20132,Apex Cards,Travel,Egypt,2025-06-11
MERCH20133,Apex Travel,Airtime & Data,South Africa,2024-12-12
MERCH20134,Pesa Store,Utilities,Kenya,2024-03-15
MERCH20135,Kazi Tech,Electronics,Ghana,2022-09-28
MERCH20136,Imara Foods,Restaurants,Nigeria,2025-04-24
MERCH20137,Baobab Travel,Education,Uganda,2022-11-06
MERCH20138,Swift Mart,Airtime & Data,South Africa,2026-04-01
MERCH20139,Metro Games,Utilities,Ghana,2022-11-06
MERCH20140,Metro Express,Retail,Nigeria,2022-10-06
MERCH20141,Zawadi Mart,Groceries,Nigeria,2025-06-06
MERCH20142,Swift Mobile,Transport,Kenya,2023-04-02
MERCH20143,Mega Foods,Utilities,South Africa,2022-10-05
MERCH20144,Urban Wallet,Utilities,Ghana,2024-10-21
MERCH20145,Jambo Pay,Retail,Kenya,2024-11-30
MERCH20146,Nova Cards,Transport,Nigeria,2024-07-23
MERCH20147,Mega Tech,Travel,Egypt,2023-08-13
MERCH20148,Prime Tech,Airtime & Data,Kenya,2022-08-22
MERCH20149,Baobab Tech,Transport,Egypt,2024-10-21
MERCH20150,Urban Wallet,Transport,Nigeria,2023-01-29
MERCH20151,Jambo Store,Utilities,Kenya,2022-07-07
MERCH20152,Baobab Pay,Groceries,Uganda,2026-02-27
MERCH20153,Sahara Plus,Transport,Kenya,2024-07-07
MERCH20154,Swift Cards,Retail,Kenya,2025-10-25
MERCH20155,Kazi Tech,Betting,Ghana,2025-09-11
MERCH20156,Nova Express,Transport,Kenya,2022-10-15
MERCH20157,Metro Wallet,Utilities,Kenya,2025-07-12
MERCH20158,Urban Pay,Electronics,South Africa,2022-11-23
MERCH20159,Kazi Store,Groceries,Kenya,2024-07-17
MERCH20160,Jambo Bet,Education,Rwanda,2024-06-09
MERCH20161,Imara Travel,Travel,Egypt,2023-04-07
MERCH20162,Apex Mart,Utilities,Tanzania,2024-03-09
MERCH20163,Swift Foods,Airtime & Data,South Africa,2025-06-17
MERCH20164,Swift Cards,Groceries,Ghana,2025-03-10
MERCH20165,Apex Games,Utilities,South Africa,2024-08-02
MERCH20166,Swift Pay,Airtime & Data,South Africa,2023-01-12
MERCH20167,Tula Hub,Airtime & Data,Egypt,2023-07-29
MERCH20168,Cloud Foods,Restaurants,Kenya,2022-12-08
MERCH20169,Jambo Foods,Betting,Kenya,2026-02-15
MERCH20170,Zawadi Store,Groceries,South Africa,2023-05-22
MERCH20171,Kazi Foods,Airtime & Data,Kenya,2024-07-17
MERCH20172,Kazi Tech,Utilities,Rwanda,2023-04-10
MERCH20173,Prime Pay,Electronics,Kenya,2026-01-11
MERCH20174,Zawadi Exchange,Betting,South Africa,2024-01-23
MERCH20175,Jambo Travel,Restaurants,Egypt,2024-02-19
MERCH20176,Apex Tech,Gaming,Nigeria,2026-05-12
MERCH20177,Pesa Plus,Money Transfer,South Africa,2024-03-24
MERCH20178,Mega Pay,Airtime & Data,Uganda,2024-09-12
MERCH20179,Jambo Tech,Groceries,Uganda,2023-11-06
MERCH20180,Cloud Games,Gift Cards,Kenya,2025-03-11
MERCH20181,Prime Games,Travel,Kenya,2023-12-07
MERCH20182,Urban Foods,Electronics,Nigeria,2024-03-01
MERCH20183,Sunrise Mobile,Restaurants,Kenya,2023-10-13
MERCH20184,Urban Store,Utilities,Kenya,2025-02-09
MERCH20185,Imara Express,Airtime & Data,Nigeria,2025-06-11
MERCH20186,Bright Pay,Restaurants,Kenya,2025-06-24
MERCH20187,Nova Mart,Transport,Kenya,2023-07-15
MERCH20188,Zawadi Exchange,Groceries,Rwanda,2022-06-10
MERCH20189,Sahara Store,Education,South Africa,2023-04-23
MERCH20190,Kazi Travel,Electronics,Nigeria,2024-07-11
MERCH20191,Tula Travel,Crypto Exchange,Kenya,2025-12-01
MERCH20192,Nova Exchange,Electronics,Ghana,2025-05-17
MERCH20193,Quick Mobile,Crypto Exchange,South Africa,2026-04-29
MERCH20194,Tula Shop,Groceries,Nigeria,2024-06-15
MERCH20195,Nova Foods,Betting,South Africa,2024-06-23
MERCH20196,Afri Tech,Travel,Nigeria,2022-08-30
MERCH20197,Nova Pay,Transport,South Africa,2023-01-25
MERCH20198,Sahara Store,Airtime & Data,Nigeria,2024-06-20
MERCH20199,Baobab Foods,Groceries,Ghana,2022-10-24
MERCH20200,Swift Games,Groceries,Kenya,2023-07-19
MERCH20201,Swift Travel,Airtime & Data,Kenya,2024-11-12
MERCH20202,Sahara Mart,Restaurants,Ghana,2024-05-03
MERCH20203,Cloud Express,Electronics,Ghana,2025-07-15
MERCH20204,Swift Exchange,Airtime & Data,Egypt,2024-12-28
MERCH20205,Mega Hub,Airtime & Data,Kenya,2025-04-09
MERCH20206,Mega Hub,Utilities,South Africa,2024-03-01
MERCH20207,Pesa Wallet,Betting,Nigeria,2025-12-29
MERCH20208,Cloud Pay,Utilities,Kenya,2023-04-24
MERCH20209,Pesa Pay,Retail,Kenya,2024-01-28
MERCH20210,Tula Plus,Airtime & Data,Ghana,2024-06-04
MERCH20211,Imara Express,Transport,South Africa,2026-03-03
MERCH20212,Apex Games,Groceries,Tanzania,2024-01-29
MERCH20213,Apex Pay,Money Transfer,Nigeria,2025-02-21
MERCH20214,Bright Shop,Restaurants,Egypt,2023-10-01
MERCH20215,Quick Tech,Airtime & Data,Kenya,2025-05-27
MERCH20216,Nova Express,Airtime & Data,South Africa,2024-12-23
MERCH20217,Afri Wallet,Gift Cards,Kenya,2024-12-17
MERCH20218,Cloud Wallet,Airtime & Data,South Africa,2023-09-07
MERCH20219,Cloud Mart,Retail,Nigeria,2022-09-29
MERCH20220,Pesa Express,Money Transfer,Nigeria,2024-08-08
MERCH20221,Swift Travel,Crypto Exchange,South Africa,2025-12-01
MERCH20222,Kazi Mart,Gift Cards,Ghana,2025-03-05
MERCH20223,Nova Shop,Groceries,Kenya,2023-06-23
MERCH20224,Baobab Wallet,Retail,South Africa,2024-01-18
MERCH20225,Zawadi Mobile,Transport,South Africa,2022-10-23
MERCH20226,Nova Travel,Electronics,Egypt,2023-05-28
MERCH20227,Metro Mobile,Retail,Tanzania,2026-01-16
MERCH20228,Urban Travel,Retail,Kenya,2025-02-12
MERCH20229,Quick Exchange,Airtime & Data,South Africa,2023-07-07
MERCH20230,Zawadi Store,Electronics,Nigeria,2024-01-31
MERCH20231,Nova Mart,Healthcare,Nigeria,2026-05-14
MERCH20232,Imara Plus,Crypto Exchange,South Africa,2024-03-01
MERCH20233,Apex Hub,Transport,Ghana,2025-11-05
MERCH20234,Urban Bet,Gaming,Tanzania,2023-03-25
MERCH20235,Pesa Wallet,Gift Cards,Nigeria,2025-01-22
MERCH20236,Pesa Cards,Groceries,Kenya,2024-01-27
MERCH20237,Bright Travel,Groceries,Ghana,2025-12-20
MERCH20238,Imara Tech,Crypto Exchange,Egypt,2025-10-17
MERCH20239,Prime Pay,Transport,Ghana,2025-09-02
MERCH20240,Imara Store,Airtime & Data,Nigeria,2024-07-05
MERCH20241,Cloud Express,Restaurants,South Africa,2025-01-14
MERCH20242,Sunrise Travel,Restaurants,Ghana,2024-05-11
MERCH20243,Pesa Bet,Groceries,South Africa,2024-10-01
MERCH20244,Jambo Express,Gaming,Egypt,2024-09-20
MERCH20245,Nova Exchange,Airtime & Data,Rwanda,2025-05-14
MERCH20246,Quick Bet,Retail,Nigeria,2023-06-08
MERCH20247,Baobab Store,Money Transfer,South Africa,2023-03-05
MERCH20248,Tula Pay,Gaming,South Africa,2022-11-18
MERCH20249,Cloud Travel,Utilities,Nigeria,2025-01-20
MERCH20250,Tula Mart,Utilities,Rwanda,2023-12-07
MERCH20251,Kazi Pay,Groceries,Egypt,2022-08-25
MERCH20252,Imara Express,Utilities,Nigeria,2025-09-25
MERCH20253,Bright Foods,Airtime & Data,Rwanda,2025-11-27
MERCH20254,Sunrise Wallet,Electronics,Nigeria,2024-01-24
MERCH20255,Bright Store,Utilities,Nigeria,2025-03-24
MERCH20256,Jambo Express,Utilities,Kenya,2023-05-22
MERCH20257,Baobab Shop,Restaurants,Kenya,2022-11-30
MERCH20258,Tula Mobile,Groceries,Kenya,2024-01-19
MERCH20259,Swift Wallet,Airtime & Data,Uganda,2026-04-07
MERCH20260,Metro Pay,Restaurants,Tanzania,2025-11-10
MERCH20261,Pesa Wallet,Retail,South Africa,2026-04-02
MERCH20262,Sunrise Travel,Transport,Nigeria,2023-02-13
MERCH20263,Nova Exchange,Restaurants,Egypt,2024-09-04
MERCH20264,Zawadi Wallet,Transport,Ghana,2023-07-12
MERCH20265,Imara Mart,Money Transfer,Rwanda,2022-06-11
MERCH20266,Jambo Exchange,Electronics,Kenya,2024-04-08
MERCH20267,Jambo Exchange,Transport,Kenya,2025-11-16
MERCH20268,Imara Store,Electronics,Nigeria,2023-04-10
MERCH20269,Metro Tech,Airtime & Data,Tanzania,2026-01-05
MERCH20270,Mega Store,Betting,South Africa,2024-07-30
MERCH20271,Prime Hub,Education,Nigeria,2022-12-21
MERCH20272,Prime Shop,Healthcare,Kenya,2025-10-15
MERCH20273,Bright Express,Electronics,South Africa,2024-05-02
MERCH20274,Afri Travel,Groceries,South Africa,2023-06-17
MERCH20275,Quick Exchange,Groceries,Kenya,2026-02-20
MERCH20276,Quick Games,Transport,Egypt,2023-04-25
MERCH20277,Metro Store,Transport,Egypt,2025-10-15
MERCH20278,Prime Plus,Gaming,Ghana,2022-06-21
MERCH20279,Prime Wallet,Retail,Kenya,2026-03-25
MERCH20280,Tula Mobile,Airtime & Data,Ghana,2025-11-07
MERCH20281,Zawadi Pay,Retail,South Africa,2025-04-05
MERCH20282,Quick Shop,Airtime & Data,Uganda,2025-03-13
MERCH20283,Apex Shop,Education,Nigeria,2023-06-08
MERCH20284,Jambo Store,Transport,Egypt,2022-09-13
MERCH20285,Mega Hub,Utilities,Ghana,2025-04-05
MERCH20286,Tula Mobile,Airtime & Data,Kenya,2026-03-24
MERCH20287,Quick Mobile,Healthcare,Egypt,2024-02-21
MERCH20288,Urban Tech,Betting,South Africa,2025-05-26
MERCH20289,Afri Foods,Restaurants,Kenya,2025-03-26
MERCH20290,Prime Cards,Electronics,South Africa,2023-02-14
MERCH20291,Zawadi Foods,Restaurants,Ghana,2024-04-24
MERCH20292,Afri Store,Restaurants,Nigeria,2026-02-28
MERCH20293,Cloud Store,Transport,Kenya,2025-10-27
MERCH20294,Cloud Express,Gift Cards,Tanzania,2024-04-07
MERCH20295,Swift Mart,Airtime & Data,Uganda,2024-11-11
MERCH20296,Mega Wallet,Restaurants,Uganda,2022-10-16
MERCH20297,Sahara Games,Groceries,South Africa,2023-12-06
MERCH20298,Cloud Mart,Transport,Kenya,2026-05-19
MERCH20299,Nova Hub,Restaurants,South Africa,2023-06-27
MERCH20300,Quick Foods,Groceries,Tanzania,2024-05-15
MERCH20301,Zawadi Hub,Transport,Rwanda,2025-04-25
MERCH20302,Prime Wallet,Education,South Africa,2023-09-18
MERCH20303,Sahara Mart,Groceries,Nigeria,2025-12-03
MERCH20304,Prime Mobile,Transport,Nigeria,2022-06-12
MERCH20305,Apex Mobile,Money Transfer,South Africa,2026-03-05
MERCH20306,Zawadi Shop,Retail,Egypt,2023-02-10
MERCH20307,Pesa Express,Travel,Uganda,2026-01-06
MERCH20308,Afri Express,Retail,Nigeria,2022-08-08
MERCH20309,Jambo Bet,Utilities,Nigeria,2022-07-11
MERCH20310,Kazi Travel,Utilities,Tanzania,2025-03-10
MERCH20311,Mega Wallet,Utilities,Ghana,2024-11-05
MERCH20312,Prime Plus,Healthcare,Nigeria,2025-01-26
MERCH20313,Metro Store,Airtime & Data,Kenya,2025-04-15
MERCH20314,Urban Wallet,Retail,Kenya,2024-05-03
MERCH20315,Mega Games,Travel,Nigeria,2023-04-15
MERCH20316,Bright Bet,Groceries,Kenya,2025-02-15
MERCH20317,Mega Pay,Groceries,Rwanda,2023-08-24
MERCH20318,Urban Cards,Electronics,Ghana,2024-06-07
MERCH20319,Quick Wallet,Groceries,Egypt,2025-04-21
MERCH20320,Mega Wallet,Utilities,Nigeria,2024-09-10
MERCH20321,Jambo Hub,Restaurants,Uganda,2026-02-24
MERCH20322,Cloud Pay,Gift Cards,Nigeria,2025-01-09
MERCH20323,Pesa Hub,Retail,Nigeria,2023-03-15
MERCH20324,Afri Tech,Groceries,South Africa,2022-07-08
MERCH20325,Quick Mobile,Transport,South Africa,2025-05-25
MERCH20326,Kazi Exchange,Restaurants,Nigeria,2026-01-20
MERCH20327,Sunrise Express,Groceries,Kenya,2024-02-13
MERCH20328,Zawadi Mobile,Retail,Kenya,2025-03-20
MERCH20329,Jambo Hub,Healthcare,Nigeria,2023-08-29
MERCH20330,Imara Hub,Gift Cards,Kenya,2022-12-06
MERCH20331,Kazi Foods,Electronics,Ghana,2023-08-05
MERCH20332,Nova Shop,Electronics,Nigeria,2025-12-02
MERCH20333,Sunrise Games,Gaming,South Africa,2025-09-15
MERCH20334,Sahara Cards,Airtime & Data,Ghana,2025-02-13
MERCH20335,Sunrise Mart,Transport,Kenya,2022-08-25
MERCH20336,Sunrise Foods,Gift Cards,Nigeria,2022-06-18
MERCH20337,Urban Foods,Retail,South Africa,2025-05-28
MERCH20338,Prime Wallet,Groceries,Ghana,2022-06-21
MERCH20339,Sahara Hub,Betting,Nigeria,2023-06-17
MERCH20340,Zawadi Mobile,Airtime & Data,Nigeria,2023-09-14
MERCH20341,Bright Games,Airtime & Data,South Africa,2023-09-06
MERCH20342,Prime Exchange,Transport,South Africa,2023-12-28
MERCH20343,Afri Tech,Airtime & Data,South Africa,2025-04-06
MERCH20344,Prime Exchange,Restaurants,South Africa,2023-07-05
MERCH20345,Quick Store,Utilities,Nigeria,2024-05-17
MERCH20346,Baobab Mobile,Groceries,Egypt,2024-05-07
MERCH20347,Quick Express,Groceries,Tanzania,2022-08-25
MERCH20348,Apex Store,Airtime & Data,Kenya,2024-02-21
MERCH20349,Metro Store,Restaurants,Uganda,2025-07-30
MERCH20350,Apex Mart,Travel,Nigeria,2022-07-02
MERCH20351,Imara Shop,Utilities,Kenya,2024-03-26
MERCH20352,Quick Foods,Healthcare,South Africa,2025-06-12
MERCH20353,Sunrise Hub,Gaming,Nigeria,2023-12-27
MERCH20354,Pesa Bet,Restaurants,Rwanda,2025-04-04
MERCH20355,Bright Hub,Gift Cards,Nigeria,2024-08-17
MERCH20356,Mega Shop,Healthcare,South Africa,2025-03-06
MERCH20357,Tula Store,Betting,Kenya,2025-02-08
MERCH20358,Pesa Plus,Airtime & Data,Nigeria,2023-10-19
MERCH20359,Mega Mobile,Healthcare,South Africa,2026-03-14
MERCH20360,Zawadi Games,Utilities,Kenya,2024-10-26
MERCH20361,Sunrise Plus,Gaming,South Africa,2022-09-03
MERCH20362,Cloud Exchange,Airtime & Data,Uganda,2026-01-21
MERCH20363,Urban Bet,Utilities,Nigeria,2025-02-09
MERCH20364,Kazi Bet,Retail,South Africa,2022-07-09
MERCH20365,Sahara Exchange,Utilities,South Africa,2023-01-13
MERCH20366,Apex Store,Airtime & Data,Tanzania,2022-06-18
MERCH20367,Quick Tech,Restaurants,Kenya,2022-06-07
MERCH20368,Quick Exchange,Utilities,South Africa,2025-09-17
MERCH20369,Imara Hub,Groceries,Ghana,2025-09-22
MERCH20370,Afri Foods,Airtime & Data,Ghana,2023-09-21
MERCH20371,Imara Tech,Utilities,South Africa,2026-03-23
MERCH20372,Pesa Travel,Healthcare,Egypt,2022-07-15
MERCH20373,Imara Pay,Groceries,South Africa,2023-08-23
MERCH20374,Baobab Exchange,Healthcare,Kenya,2025-03-04
MERCH20375,Prime Plus,Retail,Ghana,2024-04-03
MERCH20376,Nova Mobile,Retail,South Africa,2022-10-02
MERCH20377,Swift Plus,Retail,Kenya,2024-10-07
MERCH20378,Quick Mobile,Retail,Nigeria,2023-12-02
MERCH20379,Cloud Plus,Retail,Kenya,2024-10-29
MERCH20380,Cloud Cards,Restaurants,Nigeria,2024-05-15
MERCH20381,Bright Mart,Airtime & Data,Egypt,2025-09-30
MERCH20382,Afri Tech,Airtime & Data,Egypt,2024-12-03
MERCH20383,Swift Express,Groceries,South Africa,2023-10-16
MERCH20384,Kazi Pay,Restaurants,Kenya,2022-09-24
MERCH20385,Bright Store,Retail,South Africa,2024-11-05
MERCH20386,Tula Mart,Electronics,South Africa,2025-01-15
MERCH20387,Urban Tech,Restaurants,Kenya,2022-10-07
MERCH20388,Tula Foods,Electronics,Ghana,2026-03-10
MERCH20389,Jambo Tech,Electronics,Ghana,2025-09-13
MERCH20390,Cloud Express,Airtime & Data,South Africa,2023-02-01
MERCH20391,Apex Games,Retail,South Africa,2025-01-25
MERCH20392,Quick Foods,Airtime & Data,Kenya,2025-09-28
MERCH20393,Baobab Hub,Groceries,Nigeria,2024-10-24
MERCH20394,Quick Travel,Money Transfer,Egypt,2022-10-22
MERCH20395,Cloud Tech,Travel,Ghana,2022-08-24
MERCH20396,Baobab Express,Groceries,Egypt,2023-02-27
MERCH20397,Jambo Cards,Healthcare,Nigeria,2022-08-13
MERCH20398,Cloud Mart,Money Transfer,Uganda,2024-09-12
MERCH20399,Mega Bet,Groceries,Ghana,2022-10-02
MERCH20400,Afri Bet,Restaurants,Ghana,2022-07-23
MERCH20401,Bright Exchange,Utilities,Nigeria,2023-05-05
MERCH20402,Swift Plus,Retail,Egypt,2025-05-31
MERCH20403,Apex Cards,Utilities,South Africa,2024-02-16
MERCH20404,Mega Foods,Groceries,Tanzania,2022-08-24
MERCH20405,Jambo Shop,Groceries,Nigeria,2024-02-29
MERCH20406,Sahara Tech,Betting,Egypt,2024-04-25
MERCH20407,Apex Pay,Groceries,Nigeria,2023-01-16
MERCH20408,Metro Mart,Utilities,Nigeria,2025-11-12
MERCH20409,Nova Mart,Transport,Rwanda,2024-03-10
MERCH20410,Prime Shop,Healthcare,Nigeria,2022-09-24
MERCH20411,Nova Hub,Groceries,Kenya,2024-06-23
MERCH20412,Nova Shop,Retail,South Africa,2025-04-28
MERCH20413,Quick Pay,Restaurants,Egypt,2022-10-26
MERCH20414,Tula Plus,Utilities,Kenya,2025-11-04
MERCH20415,Kazi Travel,Travel,Egypt,2022-11-30
MERCH20416,Imara Bet,Gift Cards,Rwanda,2022-11-14
MERCH20417,Prime Cards,Airtime & Data,Ghana,2025-05-22
MERCH20418,Imara Shop,Utilities,Rwanda,2023-06-27
MERCH20419,Imara Cards,Airtime & Data,Kenya,2026-05-27
MERCH20420,Metro Shop,Gaming,South Africa,2024-01-11
MERCH20421,Nova Mart,Electronics,Tanzania,2023-02-28
MERCH20422,Swift Foods,Electronics,Nigeria,2025-03-13
MERCH20423,Afri Exchange,Gaming,Egypt,2024-04-08
MERCH20424,Swift Cards,Utilities,South Africa,2025-09-23
MERCH20425,Imara Store,Money Transfer,Nigeria,2023-03-02
MERCH20426,Apex Hub,Gaming,Uganda,2025-12-10
MERCH20427,Urban Pay,Education,Nigeria,2022-08-27
MERCH20428,Sahara Games,Restaurants,Kenya,2026-03-16
MERCH20429,Urban Mart,Gaming,Nigeria,2023-02-19
MERCH20430,Zawadi Foods,Groceries,Egypt,2023-04-16
MERCH20431,Pesa Store,Airtime & Data,South Africa,2023-11-09
